Original Text,TF-IDF Keywords
"For awareness, preparedness and mitigation purposes, the public and the Local Disaster Risk Reduction and Management Councils of the said provinces within the major river basins are advised to take ALL the necessary precautionary measures to mitigate the adverse immediate impacts of the possible hazards associated with TS RAMIL and the High Tide effects; to continue monitoring for rainfall and thunderstorms warnings specific to your area and other products issued by PAGASA.","possible(0.07), river(0.08), local(0.08), disaster(0.09), councils(0.09), advised(0.08), local disaster(0.09), risk(0.09), reduction(0.09), management(0.09), precautionary(0.10), measures(0.10), mitigate(0.10), impacts(0.09), basins(0.10), disaster risk(0.09), risk reduction(0.09), reduction management(0.09), management councils(0.10), precautionary measures(0.10), measures mitigate(0.10), impacts possible(0.10), river basins(0.10), rainfall(0.06), provinces(0.09), necessary(0.10), advised necessary(0.12), necessary precautionary(0.11), public(0.10), continue(0.08), monitoring(0.09), warnings(0.11), issued(0.10), public local(0.11), continue monitoring(0.10), awareness(0.14), preparedness(0.13), mitigation(0.14), purposes(0.14), said(0.14), major(0.11), adverse(0.11), immediate(0.12), hazards(0.11), associated(0.13), high(0.10), tide(0.10), effects(0.11), thunderstorms(0.10), specific(0.13), area(0.10), products(0.13), pagasa(0.11), awareness preparedness(0.14), preparedness mitigation(0.14), mitigation purposes(0.14), purposes public(0.14), councils said(0.14), said provinces(0.14), provinces major(0.14), major river(0.13), basins advised(0.13), mitigate adverse(0.11), adverse immediate(0.14), immediate impacts(0.14), possible hazards(0.13), hazards associated(0.13), high tide(0.11), tide effects(0.12), effects continue(0.13), monitoring rainfall(0.14), rainfall thunderstorms(0.14), thunderstorms warnings(0.14), warnings specific(0.14), specific area(0.13), area products(0.13), products issued(0.13), issued pagasa(0.12)"
Nearby rivers may swell from runoff; residents should monitor local advisories.,"nearby(0.35), rivers(0.39), local(0.33), residents(0.41), advisories(0.46), monitor(0.49)"
Brief moderate rain showers could develop due to localized thunderstorms.,"localized(0.34), moderate(0.17), rain(0.19), moderate rain(0.25), thunderstorms(0.28), brief(0.38), showers(0.29), develop(0.40), brief moderate(0.40), rain showers(0.35)"
Low-lying and riverside communities may experience rising water levels as rains persist.,"low(0.18), lying(0.19), riverside(0.30), low lying(0.19), water(0.21), communities(0.24), experience(0.30), rising(0.27), levels(0.25), rains(0.17), persist(0.26), lying riverside(0.33), rising water(0.30), water levels(0.28), rains persist(0.32)"
"The forecast calls for mostly cloudy skies, scattered rain, and isolated thunderstorms.","rain(0.16), thunderstorms(0.24), forecast(0.25), cloudy(0.35), skies(0.35), scattered(0.29), isolated(0.29), cloudy skies(0.35), scattered rain(0.33), rain isolated(0.33), isolated thunderstorms(0.33)"
Urban areas with poor drainage remain at risk of quick water buildup during heavy showers.,"urban(0.30), areas(0.14), poor(0.29), drainage(0.25), poor drainage(0.31), water(0.22), buildup(0.34), water buildup(0.34), risk(0.22), heavy(0.16), remain(0.33), showers(0.26), heavy showers(0.34)"
The Southwest Monsoon is no longer expected to cause flooding in the area.,"flooding(0.16), expected(0.18), cause(0.27), area(0.23), southwest(0.31), monsoon(0.30), longer(0.33), southwest monsoon(0.31), monsoon longer(0.33), longer expected(0.33), expected cause(0.33), cause flooding(0.33)"
People living near mountain slopes and low-lying areas along the mentioned river systems are advised to stay alert for possible flashfloods.,"low(0.13), lying(0.14), areas(0.10), possible(0.13), low lying(0.14), lying areas(0.15), people(0.16), living(0.20), near(0.17), mountain(0.18), slopes(0.18), mentioned(0.18), river(0.14), systems(0.17), advised(0.14), stay(0.18), alert(0.17), flashfloods(0.19), people living(0.20), living near(0.21), near mountain(0.20), mountain slopes(0.19), slopes low(0.19), areas mentioned(0.20), mentioned river(0.20), river systems(0.19), advised stay(0.22), stay alert(0.19), systems advised(0.22), alert possible(0.22), possible flashfloods(0.21)"
No rainfall warning currently; residents advised to stay updated for changes.,"advised(0.20), stay(0.26), advised stay(0.31), residents(0.26), rainfall(0.17), warning(0.29), currently(0.36), updated(0.36), rainfall warning(0.34), residents advised(0.34), stay updated(0.36)"
Minor flooding may occur because of slow drainage; stay updated.,"flooding(0.18), drainage(0.25), stay(0.26), updated(0.36), stay updated(0.36), minor(0.33), occur(0.29), slow(0.36), minor flooding(0.36), flooding occur(0.36)"
Light to moderate rainfall may cause slight water buildup in poor drainage zones.,"poor(0.27), drainage(0.23), poor drainage(0.29), light(0.14), moderate(0.14), light moderate(0.15), water(0.21), buildup(0.32), water buildup(0.32), rainfall(0.16), cause(0.27), rainfall cause(0.33), slight(0.33), zones(0.27), moderate rainfall(0.30)"
"Light to moderate with occasional heavy rains affecting the metropolitan area, the province, low-lying areas and northern areas which may persist within 3 hours and may affect nearby areas.","low(0.12), lying(0.13), areas(0.27), nearby(0.14), low lying(0.13), lying areas(0.14), light(0.10), moderate(0.10), light moderate(0.11), heavy(0.10), northern(0.17), areas northern(0.20), hours(0.14), area(0.16), rains(0.12), persist(0.18), occasional(0.18), affecting(0.19), metropolitan(0.19), province(0.18), affect(0.17), moderate occasional(0.20), occasional heavy(0.19), heavy rains(0.16), rains affecting(0.20), metropolitan area(0.19), area province(0.23), northern areas(0.19), areas persist(0.21), persist hours(0.20), hours affect(0.21), affect nearby(0.19), nearby areas(0.17)"
Light to short moderate rains happened today and river levels continue to drop.,"light(0.17), moderate(0.17), river(0.23), continue(0.24), levels(0.31), rains(0.21), short(0.41), today(0.30), moderate rains(0.28), river levels(0.41), levels continue(0.41)"
Light to moderate rainfall may affect riverside settlements this afternoon.,"riverside(0.38), light(0.17), moderate(0.17), light moderate(0.19), rainfall(0.20), moderate rainfall(0.38), affect(0.30), settlements(0.42), afternoon(0.38), rainfall affect(0.42)"
"Communities should prepare for flash floods, landslides, and river flooding.","flooding(0.19), river(0.22), landslides(0.23), floods(0.25), landslides river(0.32), communities(0.28), prepare(0.31), flash(0.27), communities prepare(0.36), flash floods(0.27), floods landslides(0.34), river flooding(0.36)"
"The public and the Local Disaster Risk Reduction and Management Councils concerned are advised to be vigilant, and take all necessary precautionary measures to mitigate the adverse sudden impacts of possible hazards associated with STS Tino within river basins, and to continue monitoring for updates, particularly heavy rainfall warnings and/or rainfall advisories, and thunderstorm advisories issued by","possible(0.08), river(0.09), local(0.09), disaster(0.10), councils(0.10), advised(0.09), local disaster(0.10), risk(0.10), reduction(0.11), management(0.11), precautionary(0.11), measures(0.11), mitigate(0.12), impacts(0.11), basins(0.12), disaster risk(0.11), risk reduction(0.11), reduction management(0.11), management councils(0.11), precautionary measures(0.11), measures mitigate(0.12), impacts possible(0.12), river basins(0.12), heavy(0.07), rainfall(0.15), heavy rainfall(0.10), necessary(0.12), necessary precautionary(0.13), public(0.11), concerned(0.13), vigilant(0.14), continue(0.09), monitoring(0.11), updates(0.11), particularly(0.13), warnings(0.13), advisories(0.25), thunderstorm(0.12), issued(0.12), public local(0.12), councils concerned(0.13), concerned advised(0.13), vigilant necessary(0.15), continue monitoring(0.11), monitoring updates(0.12), updates particularly(0.14), particularly heavy(0.15), rainfall warnings(0.14), warnings rainfall(0.15), rainfall advisories(0.14), advisories thunderstorm(0.15), thunderstorm advisories(0.14), advisories issued(0.14), adverse(0.12), hazards(0.13), associated(0.15), mitigate adverse(0.12), possible hazards(0.15), hazards associated(0.15), sudden(0.12), advised vigilant(0.16), adverse sudden(0.16), sudden impacts(0.16), basins continue(0.15)"
Potential landslides or flash floods brought on by moderate to severe rains,"moderate(0.16), landslides(0.22), floods(0.25), severe(0.33), rains(0.20), flash(0.26), flash floods(0.27), potential(0.37), brought(0.39), potential landslides(0.39), landslides flash(0.39)"
Impacts in some areas may be worsened by significant antecedent rainfall.,"areas(0.30), impacts(0.53), rainfall(0.36), significant(0.70)"
Light to moderate rain with some heavy bursts is expected to continue.,"light(0.19), moderate(0.20), rain(0.22), expected(0.26), light moderate(0.22), moderate rain(0.29), heavy(0.20), continue(0.28), bursts(0.44), rain heavy(0.42), heavy bursts(0.44)"
"People near mountain slopes and low-lying areas of the mentioned cities are advised to be alert for possible flashfloods and landslides, and to continue monitoring updates from PAGASA","low(0.13), lying(0.14), areas(0.09), possible(0.13), low lying(0.14), lying areas(0.15), people(0.16), near(0.17), mountain(0.18), slopes(0.18), mentioned(0.18), advised(0.14), alert(0.17), flashfloods(0.19), landslides(0.14), near mountain(0.20), mountain slopes(0.19), slopes low(0.19), areas mentioned(0.20), flashfloods landslides(0.23), continue(0.15), monitoring(0.17), updates(0.18), continue monitoring(0.18), monitoring updates(0.20), pagasa(0.20), alert possible(0.21), possible flashfloods(0.21), people near(0.22), advised alert(0.22), updates pagasa(0.25)"
Potential landslides or flash floods during strong thunderstorms,"landslides(0.22), floods(0.25), thunderstorms(0.27), flash(0.26), flash floods(0.26), potential(0.36), potential landslides(0.38), landslides flash(0.38), strong(0.32), strong thunderstorms(0.38)"
Water levels may fluctuate quickly depending on rainfall intensity and drainage flow.,"drainage(0.45), water(0.40), rainfall(0.31), levels(0.49), water levels(0.55)"
Low areas may flood because of poor drainage and high tide.,"low(0.21), areas(0.15), poor(0.31), drainage(0.27), poor drainage(0.34), high(0.28), tide(0.29), high tide(0.31), flood(0.30), low areas(0.37), drainage high(0.40)"
Keep checking for thunderstorm and rainfall updates.,"rainfall(0.31), updates(0.47), thunderstorm(0.50), thunderstorm rainfall(0.66)"
Landslides may happen in places with very soft or steep ground.,"places(0.33), landslides(0.28), happen(0.43), steep(0.43), ground(0.45), happen places(0.48)"
"Heavy Rainfall: According to PAGASA Weather Advisory No. 17, the following areas are forecast to receive significant rainfall from today until Wednesday due to Tropical Cyclone Verbena and the Shear Line","areas(0.12), heavy(0.14), rainfall(0.30), shear(0.23), line(0.23), wednesday(0.25), heavy rainfall(0.20), shear line(0.23), pagasa(0.25), forecast(0.23), today(0.23), significant(0.29), weather(0.25), advisory(0.32), significant rainfall(0.32), rainfall today(0.30)"
Severe storm conditions may produce flash floods within minutes in low-lying zones.,"low(0.21), lying(0.23), low lying(0.23), floods(0.26), severe(0.34), conditions(0.33), zones(0.32), flash(0.27), flash floods(0.28), storm(0.38), minutes(0.40)"
Heavy rainfall warning issued; risk of flash floods high in vulnerable zones.,"risk(0.21), floods(0.22), heavy(0.15), rainfall(0.16), heavy rainfall(0.21), issued(0.25), high(0.24), warning(0.28), rainfall warning(0.32), zones(0.27), flash(0.23), flash floods(0.24), vulnerable(0.30), warning issued(0.34), vulnerable zones(0.34)"
Light to moderate rain might extend to adjacent provinces by evening.,"light(0.27), moderate(0.27), rain(0.30), light moderate(0.30), moderate rain(0.40), adjacent(0.55), provinces(0.45)"
Light to moderate rain is expected in several provinces and may affect many communities.,"light(0.22), moderate(0.22), rain(0.24), expected(0.29), light moderate(0.24), moderate rain(0.32), rain expected(0.43), provinces(0.36), communities(0.37), affect(0.38)"
"Moderate to Heavy rainfall today to tomorrow noon in island provinces, western islands, western islands, island provinces, southern areas, southern areas, eastern islands, western coastal areas, western areas, the island, eastern plains, small islands, northern valleys, southern valleys, coastal regions, plateau areas, interior areas, western coastal regions, and island provinces.","areas(0.22), coastal(0.20), coastal areas(0.07), moderate(0.04), heavy(0.04), rainfall(0.04), northern(0.07), provinces(0.20), noon(0.07), heavy rainfall(0.06), regions(0.16), eastern(0.14), today(0.07), rainfall today(0.09), tomorrow(0.07), island(0.33), western(0.43), islands(0.32), southern(0.25), plains(0.07), small(0.09), moderate heavy(0.08), today tomorrow(0.08), tomorrow noon(0.07), noon island(0.09), island provinces(0.26), provinces western(0.09), western islands(0.19), islands island(0.09), southern areas(0.18), areas southern(0.09), areas eastern(0.09), eastern islands(0.08), western coastal(0.19), areas western(0.18), western areas(0.09), areas island(0.09), eastern plains(0.09), plains small(0.09), small islands(0.09), islands northern(0.09)"
"Light to Moderate to at times Heavy rains are being experienced in, ,, and which may persist within 2 to 3 hours and may affect nearby areas.","areas(0.12), nearby(0.19), light(0.13), moderate(0.13), light moderate(0.14), heavy(0.13), hours(0.19), rains(0.16), persist(0.24), affect(0.23), heavy rains(0.22), persist hours(0.27), hours affect(0.28), affect nearby(0.26), nearby areas(0.23), times(0.26), experienced(0.28), moderate times(0.26), times heavy(0.26), rains experienced(0.31)"
