Row ID,Original Advisory,Level,Keywords Extracted
31,"Road/street flooding is possible in several areas due to impounded water, poor/clogged drainage systems, and high tide levels, which could render some roads not passable.",1,"areas impounded(0.24), impounded(0.24), impounded water(0.24), passable(0.24), roads passable(0.24), clogged(0.23), clogged drainage(0.23), poor clogged(0.23), possible areas(0.23), water poor(0.23), road(0.22), flooding possible(0.20), roads(0.20), drainage systems(0.19), levels(0.19), high tide(0.18), poor(0.18), tide(0.17), high(0.17), drainage(0.16), systems(0.16), water(0.15), possible(0.13), flooding(0.12), areas(0.09)"
32,"Localized flooding is possible mainly in areas that are urbanized, low lying, or near rivers.",1,"areas urbanized(0.33), lying near(0.33), urbanized low(0.33), urbanized(0.31), localized flooding(0.30), near rivers(0.28), flooding possible(0.28), localized(0.28), rivers(0.22), near(0.22), low lying(0.18), lying(0.18), possible(0.17), low(0.17), flooding(0.16), areas(0.12)"
33,People living near the mountains slopes and in the low lying areas of the above mentioned river systems and the local disaster risk reduction and management councils concerned are advised to be alert for possible flashfloods.,1,"mountains(0.21), near mountains(0.21), systems local(0.20), advised alert(0.19), concerned(0.18), concerned advised(0.18), councils concerned(0.18), alert possible(0.18), living near(0.18), possible flashfloods(0.18), areas mentioned(0.17), living(0.17), mentioned river(0.17), people living(0.17), river systems(0.17), slopes low(0.16), flashfloods(0.16), mentioned(0.15), slopes(0.15), disaster risk(0.15), management councils(0.15), reduction(0.15), reduction management(0.15), risk reduction(0.15), management(0.15), councils(0.14), local disaster(0.14), near(0.14), systems(0.14), alert(0.14), disaster(0.14), people(0.14), risk(0.13), lying areas(0.13), river(0.12), local(0.12), advised(0.12), low lying(0.12), lying(0.12), possible(0.11), low(0.11), areas(0.08)"
34,"Light to Moderate to at times Heavy rains are being experienced in, ,, and which may persist within 2 to 3 hours and may affect nearby areas.",1,"rains experienced(0.31), hours affect(0.28), moderate times(0.28), times(0.28), times heavy(0.28), experienced(0.27), persist hours(0.27), affect nearby(0.25), persist(0.24), affect(0.22), nearby areas(0.22), heavy rains(0.21), nearby(0.19), hours(0.19), rains(0.16), light moderate(0.14), heavy(0.13), moderate(0.13), light(0.13), areas(0.11)"
35,The public and the Disaster Risk Reduction and Management Offices concerned are advised to MONITOR the weather condition and watch for the next warning to be issued at 11:00 PM today.,1,"monitor weather(0.28), offices(0.28), warning issued(0.28), watch(0.28), concerned(0.24), concerned advised(0.24), monitor(0.23), warning(0.23), issued(0.22), weather(0.22), disaster risk(0.20), public(0.20), reduction(0.20), reduction management(0.20), risk reduction(0.20), management(0.20), today(0.20), disaster(0.18), risk(0.18), advised(0.16)"
36,Residents and the Local Disaster Risk Reduction and Management Councils adjacent to and/or along the above-mentioned areas of concern are advised to maintain vigilance and take appropriate precautionary measures to mitigate the impacts of possible landslides and river floods within the river basins.,1,"river(0.21), advised maintain(0.17), appropriate(0.17), appropriate precautionary(0.17), areas concern(0.17), concern advised(0.17), councils adjacent(0.17), maintain(0.17), maintain vigilance(0.17), mentioned areas(0.17), mitigate impacts(0.17), residents local(0.17), vigilance(0.17), vigilance appropriate(0.17), adjacent mentioned(0.16), concern(0.16), floods river(0.16), possible landslides(0.16), river floods(0.16), landslides river(0.15), adjacent(0.15), impacts possible(0.14), measures mitigate(0.13), mitigate(0.13), basins(0.13), river basins(0.13), mentioned(0.13), residents(0.13), disaster risk(0.13), impacts(0.13), management councils(0.13), measures(0.13), precautionary(0.13), precautionary measures(0.13), reduction(0.13), reduction management(0.13), risk reduction(0.13), management(0.12), councils(0.12), local disaster(0.12), disaster(0.11), floods(0.11), risk(0.11), local(0.10), landslides(0.10), advised(0.10), possible(0.09), areas(0.06)"
37,"People near the river, mountain slopes, and low-lying areas in the river basins are strongly advised to take appropriate actions, as local flooding is possible due to impounded water and poor drainage, and to continue monitoring updates from PAGASA",1,"river(0.26), appropriate(0.22), impounded(0.22), impounded water(0.22), updates pagasa(0.22), local flooding(0.21), water poor(0.21), people near(0.20), flooding possible(0.18), poor drainage(0.18), monitoring updates(0.18), pagasa(0.18), mountain slopes(0.17), slopes low(0.17), basins(0.17), poor(0.17), river basins(0.17), continue monitoring(0.16), slopes(0.16), mountain(0.16), updates(0.16), monitoring(0.15), drainage(0.15), near(0.15), people(0.14), water(0.14), lying areas(0.14), continue(0.13), local(0.13), advised(0.12), low lying(0.12), lying(0.12), possible(0.12), low(0.11), flooding(0.11), areas(0.08)"
38,"The public and LDRRMOs within the basin are advised to take precautionary measures against river flooding, rainwater accumulation, tide-affected areas, and possible landslides or flashfloods in mountainside areas",1,"affected areas(0.25), landslides flashfloods(0.25), mountainside(0.25), mountainside areas(0.25), river flooding(0.25), tide affected(0.25), basin advised(0.24), possible landslides(0.24), rainwater(0.24), accumulation(0.22), basin(0.20), affected(0.20), flashfloods(0.19), areas(0.18), measures(0.18), precautionary(0.18), precautionary measures(0.18), public(0.18), tide(0.18), river(0.15), landslides(0.14), advised(0.14), possible(0.13), flooding(0.12)"
39,"People near mountain slopes and low-lying areas of the mentioned cities are advised to be alert for possible flashfloods and landslides, and to continue monitoring updates from PAGASA",1,"updates pagasa(0.25), advised alert(0.22), flashfloods landslides(0.22), people near(0.22), alert possible(0.21), possible flashfloods(0.21), areas mentioned(0.20), monitoring updates(0.20), pagasa(0.20), near mountain(0.20), mountain slopes(0.19), slopes low(0.19), flashfloods(0.19), continue monitoring(0.18), mentioned(0.18), slopes(0.18), mountain(0.18), updates(0.18), monitoring(0.17), near(0.16), alert(0.16), people(0.16), lying areas(0.15), continue(0.15), landslides(0.14), advised(0.14), low lying(0.14), lying(0.14), possible(0.13), low(0.13), areas(0.09)"
40,People near mountain slopes and low-lying areas of the mentioned river systems are still advised to be alert for possible flashfloods,1,"advised alert(0.24), people near(0.24), systems advised(0.24), alert possible(0.22), possible flashfloods(0.22), areas mentioned(0.22), mentioned river(0.22), near mountain(0.21), river systems(0.21), mountain slopes(0.21), slopes low(0.21), flashfloods(0.20), mentioned(0.20), slopes(0.20), mountain(0.19), near(0.18), systems(0.18), alert(0.18), people(0.18), lying areas(0.17), river(0.16), advised(0.15), low lying(0.15), lying(0.15), possible(0.14), low(0.14), areas(0.10)"
41,The Public and the Local Disaster Risk Reduction and Management Councils within the basin are advised to take precautionary measures to mitigate the adverse impacts of river flooding along low-lying riverside areas; flooding at low-lying areas due to accumulation/ponding of rainwater with the combined effects of poor drainage systems; tide affected areas and possible landslides or flashfloods at mountainside areas.,1,"flooding low(0.30), areas(0.22), low lying(0.17), lying(0.17), low(0.15), affected areas(0.15), combined effects(0.15), landslides flashfloods(0.15), lying riverside(0.15), mountainside(0.15), mountainside areas(0.15), river flooding(0.15), riverside areas(0.15), tide affected(0.15), flooding(0.14), basin advised(0.14), combined(0.14), councils basin(0.14), possible landslides(0.14), rainwater(0.14), adverse impacts(0.13), accumulation(0.13), riverside(0.13), mitigate adverse(0.13), poor drainage(0.13), adverse(0.12), basin(0.12), affected(0.12), drainage systems(0.12), effects(0.12), public local(0.12), measures mitigate(0.12), mitigate(0.12), flashfloods(0.11), poor(0.11), disaster risk(0.11), impacts(0.11), management councils(0.11), measures(0.11), precautionary(0.11), precautionary measures(0.11), public(0.11), reduction(0.11), reduction management(0.11), risk reduction(0.11), management(0.11), tide(0.11), councils(0.10), local disaster(0.10), drainage(0.10), systems(0.10), disaster(0.10), risk(0.10), lying areas(0.09), river(0.09), local(0.09), landslides(0.09), advised(0.08), possible(0.08)"
42,People living near the mountain slopes and in the low lying areas of the above mentioned river systems and the local disaster risk reduction and management councils concerned are advised to be alert for possible flashfloods and landslides.,1,"systems local(0.19), advised alert(0.18), flashfloods landslides(0.18), concerned(0.18), concerned advised(0.18), councils concerned(0.18), alert possible(0.17), living near(0.17), possible flashfloods(0.17), areas mentioned(0.17), living(0.17), mentioned river(0.17), people living(0.17), near mountain(0.16), river systems(0.16), mountain slopes(0.16), slopes low(0.16), flashfloods(0.15), mentioned(0.15), slopes(0.15), disaster risk(0.15), management councils(0.15), mountain(0.15), reduction(0.15), reduction management(0.15), risk reduction(0.15), management(0.15), councils(0.14), local disaster(0.14), near(0.14), systems(0.14), alert(0.13), disaster(0.13), people(0.13), risk(0.13), lying areas(0.13), river(0.12), local(0.12), landslides(0.12), advised(0.12), low lying(0.11), lying(0.11), possible(0.11), low(0.11), areas(0.07)"
43,"The public and the Local Disaster Risk Reduction and Management Councils concerned are advised to remain vigilant, take necessary precautionary measures, and continue monitoring for updates, particularly heavy rainfall warnings and/or rainfall advisories or thunderstorm advisories issued by the",1,"advisories(0.29), advised remain(0.17), advisories thunderstorm(0.17), particularly heavy(0.17), remain vigilant(0.17), vigilant necessary(0.17), warnings rainfall(0.17), advisories issued(0.16), rainfall advisories(0.16), rainfall warnings(0.16), thunderstorm advisories(0.16), updates particularly(0.16), vigilant(0.16), rainfall(0.16), particularly(0.16), remain(0.16), concerned(0.15), concerned advised(0.15), councils concerned(0.15), necessary precautionary(0.14), warnings(0.14), monitoring updates(0.14), necessary(0.14), public local(0.14), thunderstorm(0.14), issued(0.13), continue monitoring(0.13), disaster risk(0.13), management councils(0.13), measures(0.13), precautionary(0.13), precautionary measures(0.13), public(0.13), reduction(0.13), reduction management(0.13), risk reduction(0.13), updates(0.13), management(0.12), councils(0.12), local disaster(0.12), monitoring(0.12), disaster(0.11), risk(0.11), heavy rainfall(0.11), continue(0.10), local(0.10), advised(0.10), heavy(0.07)"
44,Light to moderate to at times heavy rains,1,"moderate times(0.46), times(0.46), times heavy(0.46), heavy rains(0.35), rains(0.26), light moderate(0.24), heavy(0.22), moderate(0.21), light(0.21)"
45,"Heavy rainfall outlook due to Shear line in northern provinces, the valley, eastern areas, and the vicinity today to tomorrow noon.”",1,"provinces valley(0.25), line northern(0.24), northern provinces(0.24), areas vicinity(0.23), eastern areas(0.23), valley eastern(0.23), outlook(0.21), outlook shear(0.21), rainfall outlook(0.21), valley(0.21), today tomorrow(0.21), vicinity(0.21), eastern(0.19), tomorrow noon(0.19), northern(0.18), today(0.18), tomorrow(0.18), line(0.18), noon(0.18), shear(0.18), shear line(0.18), provinces(0.18), heavy rainfall(0.16), rainfall(0.12), heavy(0.11), areas(0.09)"
46,"Heavy rainfall outlook due to Shear line in mountainous areas, upland areas, northern highlands, northern highlands, mountainous zones, highland areas, northern areas, low-lying areas, the metropolitan area, the area, nearby areas, and the province tomorrow noon to Wednesday noon.",1,"areas(0.32), northern(0.31), highlands(0.29), northern highlands(0.29), areas northern(0.25), mountainous(0.25), area(0.21), noon(0.21), area area(0.15), highlands northern(0.15), areas province(0.14), mountainous areas(0.14), upland(0.14), upland areas(0.14), noon wednesday(0.13), areas low(0.13), metropolitan(0.12), metropolitan area(0.12), northern areas(0.12), outlook(0.12), outlook shear(0.12), rainfall outlook(0.12), wednesday noon(0.12), province(0.12), wednesday(0.12), zones(0.11), nearby areas(0.11), tomorrow noon(0.11), tomorrow(0.10), line(0.10), shear(0.10), shear line(0.10), heavy rainfall(0.09), lying areas(0.09), nearby(0.09), low lying(0.08), lying(0.08), low(0.08), rainfall(0.07), heavy(0.06)"
47,"Heavy rainfall outlook due to Shear line in the valley, eastern areas, northern highlands, and northern highlands Wednesday noon to Thursday noon.",1,"highlands(0.40), northern highlands(0.40), northern(0.28), noon(0.28), highlands northern(0.20), noon thursday(0.20), thursday(0.20), thursday noon(0.20), eastern areas(0.18), valley eastern(0.18), areas northern(0.17), outlook(0.17), outlook shear(0.17), rainfall outlook(0.17), valley(0.17), wednesday noon(0.17), wednesday(0.16), eastern(0.15), line(0.14), shear(0.14), shear line(0.14), heavy rainfall(0.12), rainfall(0.09), heavy(0.09), areas(0.07)"
48,"Moderate to Heavy rainfall today to tomorrow noon in island provinces, western islands, western islands, island provinces, southern areas, southern areas, eastern islands, western coastal areas, western areas, the island, eastern plains, small islands, northern valleys, southern valleys, coastal regions, plateau areas, interior areas, western coastal regions, and island provinces.",1,"western(0.43), island(0.33), islands(0.32), island provinces(0.26), southern(0.26), areas(0.21), coastal(0.20), provinces(0.20), western coastal(0.19), western islands(0.19), areas western(0.18), regions(0.18), southern areas(0.18), eastern(0.14), areas island(0.09), eastern plains(0.09), islands northern(0.09), noon island(0.09), plains small(0.09), small islands(0.09), western areas(0.09), areas eastern(0.09), islands island(0.09), provinces western(0.09), rainfall today(0.09), small(0.09), areas southern(0.09), eastern islands(0.08), today tomorrow(0.08), plains(0.07), moderate heavy(0.07), tomorrow noon(0.07), coastal areas(0.07), northern(0.07), today(0.07), tomorrow(0.07), noon(0.07), heavy rainfall(0.06), rainfall(0.04), heavy(0.04), moderate(0.04)"
49,"Moderate to Heavy rainfall tomorrow noon to Wednesday noon in western islands, island provinces, volcanic areas, southern tips, island areas, eastern islands, southern areas, southern areas, western islands, northern coastal areas, the region, eastern coastal areas, southern provinces, eastern provinces, island areas, central islands, island provinces, eastern plains, small islands, the island, and island groups.",1,"island(0.42), islands(0.34), southern(0.29), eastern(0.24), islands island(0.23), provinces(0.22), areas southern(0.22), areas(0.21), provinces eastern(0.16), western islands(0.16), island areas(0.15), southern areas(0.15), island provinces(0.15), western(0.15), coastal areas(0.11), coastal(0.11), noon(0.11), central islands(0.08), eastern coastal(0.08), eastern plains(0.08), eastern provinces(0.08), groups(0.08), island groups(0.08), islands northern(0.08), northern coastal(0.08), plains small(0.08), provinces island(0.08), rainfall tomorrow(0.08), region eastern(0.08), small islands(0.08), southern provinces(0.08), areas central(0.08), areas eastern(0.08), areas western(0.08), small(0.08), southern tips(0.08), tips(0.08), volcanic(0.08), volcanic areas(0.08), areas region(0.07), noon wednesday(0.07), eastern islands(0.07), wednesday noon(0.07), central(0.06), wednesday(0.06), plains(0.06), region(0.06), moderate heavy(0.06), tomorrow noon(0.06), northern(0.06), tomorrow(0.06), heavy rainfall(0.05), rainfall(0.04), heavy(0.03), moderate(0.03)"
